Checklist #, Star Count, Image, Set, Player, Rarity Tier, Country, Supply
000, 0, QmdwX48YJtkz2HdFN56P8yMeDC26x1Ps8gMfeGLyEkb9xb, Originals, Lionel Messi, Diamond, Argentina, 60
001, 0, QmW88Q7Fx5K1iaiCbv2tjMouVL6CGbyDpakjCgw4PXSxCy, Originals, Cristiano Ronaldo, Diamond, Portugal, 56
002, 0, QmXFAL6ZHev3xYuvPhXyWJCnQmWybeWVcr1gSPwJgF46BB, Originals, Neymar, Diamond, Brazil, 59
003, 0, QmbqV1H9ap1iKQiXJkyviWeBTkqZd3YUPt2YdVA31gSoSj, Originals, Mohamed Salah, Diamond, Egypt, 56
004, 0, Qmf913HiQvBNoTHtpX4eYW5QiWJGwM96CJvqri9hBeYMhk, Originals, Robert Lewandowski, Gold, Poland, 82
005, 0, Qma6HTkimWotpxJXiGbzrgZLqFuHMCGVuJCjY3xT123TP7, Originals, Kevin De Bruyne, Gold, Belgium, 77
006, 0, Qmak3vVvbcwkoRkHJxWigwdF9uCwt7TUNd8tVS61kmqKXp, Originals, Luka Modrić, Gold, Croatia, 76
007, 0, QmXFHaEcjMi3ZP3wUe8YymwurYEnNfZiyJ1iGv2HKtBKkc, Originals, Eden Hazard, Gold, Belgium, 74
008, 0, QmbNmLLTReBnqQgALp1YjyvskNJTcKbNFMqxff7T7JfKTC, Originals, Sergio Ramos, Gold, Spain, 88
009, 0, QmQHx6Cd9YTfEuEuLnBfaTxpu3doQjA7asFnzhU3Hw3S5S, Originals, Toni Kroos, Gold, Germany, 78
010, 0, QmS1rMTUmeGx48nXZ1udk8bvYoV8YX2ZQjH2JQ3u5RhhwS, Originals, Luis Suárez, Gold, Uruguay, 69
011, 0, QmPUBmwWt23djCS6WYmcCTaWU458WpuH6iA57dMvwXQSxD, Originals, Harry Kane, Gold, England, 79
012, 0, QmRWny6uoEGkorXxZNFWoRVUBnBrVwZ6TMVXnyjHaXWXXR, Originals, Sergio Agüero, Gold, Argentina, 76
013, 0, QmQqYMfEeGNriojtf5rzancDiRVrrJhJhSQDKEEnZ1yR42, Originals, Kylian Mbappé, Gold, France, 70
014, 0, QmPf6pvKwNNMz7KhrmWBwrnR45HHWMn4SAhguc97gMMguw, Originals, Gonzalo Higuaín, Gold, Argentina, 75
015, 0, QmcXUPLaECDuchy6VccRgNijuQaQRhFpq8vsbhFNQJHbdT, Originals, David de Gea, Gold, Spain, 67
016, 0, QmYnQjtCr9AXp9wqdGEfnsSxYNugjyysZYMFbdc6pKPWdD, Originals, Antoine Griezmann, Gold, France, 62
